265	2.193686	0.607559	2
58029	5.572881	1.516056	1
40792	1.088728	1.645258	1
32678	11.535388	1.024522	3
27403	8.801739	0.974749	3
48965	3.062231	0.054229	1
8004	0.494779	0.209748	2
61239	0.133582	1.375499	1
71322	5.086154	0.450638	1
10023	5.839715	0.487968	2
61124	9.447566	1.100721	3
78222	12.260576	1.666173	1
41006	10.617084	1.033604	3
66741	10.086833	0.052400	1
38276	4.508343	0.537572	1
50568	0.151065	0.609065	1
948	1.451911	0.036234	2
1432	1.062407	0.392670	2
30623	11.625943	0.152423	3
41358	1.429257	1.330336	1
34253	4.371198	0.952144	1
10986	0.000000	0.350680	2
24110	9.649733	1.565065	3
21098	11.590654	0.785428	3
70338	6.803782	1.415831	1
70642	9.420848	0.319640	1
68160	7.232030	1.452406	1
42581	10.858883	1.069507	3
80409	9.135077	1.474773	1
7374	2.631953	0.935141	2
1884	4.298513	0.432615	2
23450	4.593272	1.266338	1
26142	9.566083	0.204322	3
38211	0.786242	0.742334	1
52373	6.418062	0.520211	3
48057	10.845964	1.024142	3
25343	10.653119	0.958249	3
30571	9.046586	0.621868	3
67322	3.219348	0.323181	1
23087	0.584670	0.878223	1
13577	0.613726	1.699296	2
24229	9.800278	0.013898	3
24187	7.404162	0.944678	3
4054	2.749727	1.131122	2
37827	6.157176	0.850992	3
29242	1.362887	1.405285	1
47163	11.178172	0.340073	3
25430	9.882774	0.800662	3
33866	9.349247	0.910967	3
64613	7.470057	0.028436	1
7588	3.698519	1.082474	2
9087	2.589527	0.166885	2
8129	1.342039	0.524034	2
68746	10.257614	0.419107	1
59454	2.952779	0.008163	1
13003	2.973957	1.220745	2
33555	9.470569	0.001613	3
32227	3.646919	1.668148	1
12835	5.711274	1.411120	2
40320	9.647342	1.393835	3
30373	12.128837	0.510982	3
68528	11.539513	0.008811	1
13819	0.318994	0.414106	2
34241	8.768236	0.366900	3
35874	11.925716	0.184728	3
31081	3.843630	0.813942	1
73728	9.292812	1.576585	1
20550	1.851240	1.698348	2
5838	4.297936	0.408584	2
21136	9.649411	1.367820	3
75444	14.049862	1.009431	1
43124	6.671344	0.363399	3
52745	2.911955	1.570944	1
69001	9.181580	0.059246	1
11961	6.643311	1.172761	2
68093	12.249604	1.469757	1
57636	1.252008	0.627871	1
45501	8.904069	1.272413	3
34956	10.588608	0.585855	3
18463	1.719940	0.661811	2
6127	5.596001	1.345338	2
26824	9.158073	0.256005	3
37157	9.023438	1.095524	3
75761	9.998189	0.118925	1
12378	0.502251	0.944417	2
26576	11.059346	0.851014	3
36043	9.315520	1.267077	3
61289	13.480908	1.510351	3
5398	0.459377	1.001690	2
20793	7.047870	1.564186	3
52404	0.000000	0.240852	1
44209	10.322778	1.469812	3
6132	6.418579	0.219416	3
31936	9.775964	1.146450	3
41266	10.557907	1.025136	3
52326	11.083214	0.605696	3
84614	21.259895	1.126786	1
9752	0.000000	1.186490	2
10506	3.670516	0.020523	2
29495	12.124075	0.519656	3
27072	8.789161	1.221337	3
31169	3.001597	1.630345	1
9753	5.453873	0.472696	2
10813	4.366016	1.310528	2
4532	3.867011	0.778586	2
12810	2.479322	0.029962	2
34538	7.208947	0.694682	3
73933	11.909567	0.184733	1
7281	1.316585	0.437320	2
40278	6.593346	0.492458	1
77202	9.458102	1.110877	1
9634	0.000000	0.100347	2
12911	11.354840	0.707520	3
8331	1.471872	0.395962	2
36576	2.279104	0.416003	1
42379	2.169446	1.118858	1
41812	11.504003	0.039956	3
68636	11.374779	0.502984	1
9905	6.129414	1.337023	2
51296	10.196001	0.025075	3
57650	2.254807	0.325914	1
72210	8.513592	0.172116	1
45520	3.537569	0.636078	1
4791	4.978276	1.291245	2
13605	2.157801	0.225206	2
0	3.190011	0.452797	2
24442	8.895036	1.219947	3
28360	7.634357	0.338749	3
63755	4.533657	1.208027	1
36526	12.083095	0.793449	3
12036	4.944972	0.041784	2
6683	6.235775	1.395943	2
1880	0.018700	0.907824	2
74457	13.378350	1.229680	1
36625	8.233867	0.832929	3
37081	8.797163	1.006986	3
30072	10.204313	1.578798	3
6431	1.700388	1.497835	2
9146	0.823920	0.240422	2
3554	3.578292	0.514661	2
13716	7.449615	0.489476	2
